Rk,G,Date,Opp,W/L,PTS,Opp.1,PTS.1,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
24,24,2022-12-04,BRK,W,103,92,35,81,.432,15,38,.395,18,20,.900,8,48,18,11,9,17,19,34,84,.405,9,26,.346,15,22,.682,11,45,17,6,7,15,18
25,25,2022-12-05,TOR,W,116,110,44,90,.489,13,36,.361,15,21,.714,13,49,27,6,3,11,22,39,85,.459,10,28,.357,22,30,.733,12,46,19,6,5,13,20
26,26,2022-12-07,PHO,W,125,98,49,101,.485,16,45,.356,11,13,.846,11,53,29,14,3,13,20,37,93,.398,8,32,.250,16,19,.842,13,49,19,5,4,18,17
27,27,2022-12-10,GSW,L,107,123,38,87,.437,12,40,.300,19,26,.731,6,39,17,8,6,10,14,47,92,.511,13,39,.333,16,20,.800,11,53,26,3,6,15,20
28,28,2022-12-12,LAC,L,93,113,33,76,.434,9,39,.231,18,26,.692,5,36,27,5,6,15,17,44,90,.489,10,25,.400,15,21,.714,11,46,18,10,2,10,26
29,29,2022-12-13,LAL,W,122,118,46,104,.442,19,48,.396,11,16,.688,13,51,27,6,2,14,22,44,93,.473,8,29,.276,22,30,.733,7,49,23,7,9,12,17
30,30,2022-12-16,ORL,L,109,117,35,84,.417,11,46,.239,28,34,.824,10,38,17,9,12,14,21,42,91,.462,9,33,.273,24,28,.857,15,53,19,7,1,18,26
31,31,2022-12-18,ORL,L,92,95,31,89,.348,12,47,.255,18,21,.857,11,54,22,7,7,17,17,33,86,.384,12,29,.414,17,19,.895,6,46,20,9,3,13,18
32,32,2022-12-21,IND,L,112,117,39,101,.386,13,41,.317,21,25,.840,25,62,26,11,5,17,9,46,98,.469,18,39,.462,7,9,.778,12,47,27,10,3,14,22
33,33,2022-12-23,MIN,W,121,109,44,100,.440,13,46,.283,20,26,.769,20,53,28,9,6,12,16,44,91,.484,10,32,.313,11,15,.733,11,45,25,3,8,17,18
34,34,2022-12-25,MIL,W,139,118,50,85,.588,19,39,.487,20,25,.800,5,35,29,9,1,12,18,42,84,.500,13,36,.361,21,27,.778,8,39,22,8,1,15,16
