     ,Date                ,Start (ET) ,Visitor/Neutral        ,PTS ,Home/Neutral           ,PTS.1 ,Unnamed: 6 ,Unnamed: 7 ,Attend. ,LOG    ,Arena                      ,Notes
  97 ,"Mon, Nov 1, 2021"  ,7:30p      ,Chicago Bulls          ,128 ,Boston Celtics         ,  114 ,Box Score  ,           ,19156.0 ,2:09   ,TD Garden                  ,
  98 ,"Mon, Nov 1, 2021"  ,7:30p      ,Toronto Raptors        ,113 ,New York Knicks        ,  104 ,Box Score  ,           ,16528.0 ,2:05   ,Madison Square Garden (IV) ,
  99 ,"Mon, Nov 1, 2021"  ,8:00p      ,Denver Nuggets         , 97 ,Memphis Grizzlies      ,  106 ,Box Score  ,           ,12683.0 ,2:02   ,FedEx Forum                ,
 100 ,"Mon, Nov 1, 2021"  ,8:00p      ,Orlando Magic          ,115 ,Minnesota Timberwolves ,   97 ,Box Score  ,           ,14744.0 ,2:19   ,Target Center              ,
 101 ,"Mon, Nov 1, 2021"  ,10:30p     ,Oklahoma City Thunder  , 94 ,Los Angeles Clippers   ,   99 ,Box Score  ,           ,13722.0 ,2:14   ,Crypto.com Arena           ,
 102 ,"Tue, Nov 2, 2021"  ,7:00p      ,Milwaukee Bucks        ,117 ,Detroit Pistons        ,   89 ,Box Score  ,           , 9254.0 ,2:11   ,Little Caesars Arena       ,
 103 ,"Tue, Nov 2, 2021"  ,7:30p      ,Miami Heat             ,125 ,Dallas Mavericks       ,  110 ,Box Score  ,           ,19255.0 ,2:21   ,American Airlines Center   ,
 104 ,"Tue, Nov 2, 2021"  ,9:00p      ,Sacramento Kings       ,113 ,Utah Jazz              ,  119 ,Box Score  ,           ,18306.0 ,2:28   ,Vivint Smart Home Arena    ,
 105 ,"Tue, Nov 2, 2021"  ,10:00p     ,New Orleans Pelicans   ,100 ,Phoenix Suns           ,  112 ,Box Score  ,           ,14323.0 ,2:11   ,Phoenix Suns Arena         ,
 106 ,"Tue, Nov 2, 2021"  ,10:30p     ,Houston Rockets        ,117 ,Los Angeles Lakers     ,  119 ,Box Score  ,           ,18997.0 ,2:17   ,Crypto.com Arena           ,
 107 ,"Wed, Nov 3, 2021"  ,7:00p      ,Portland Trail Blazers ,104 ,Cleveland Cavaliers    ,  107 ,Box Score  ,           ,16231.0 ,2:06   ,Rocket Mortgage Fieldhouse ,
 108 ,"Wed, Nov 3, 2021"  ,7:00p      ,New York Knicks        , 98 ,Indiana Pacers         ,  111 ,Box Score  ,           ,11607.0 ,2:11   ,Gainbridge Fieldhouse      ,
 109 ,"Wed, Nov 3, 2021"  ,7:00p      ,Boston Celtics         , 92 ,Orlando Magic          ,   79 ,Box Score  ,           ,12735.0 ,2:06   ,Amway Center               ,
 110 ,"Wed, Nov 3, 2021"  ,7:00p      ,Chicago Bulls          , 98 ,Philadelphia 76ers     ,  103 ,Box Score  ,           ,20438.0 ,2:13   ,Wells Fargo Center         ,
 111 ,"Wed, Nov 3, 2021"  ,7:00p      ,Toronto Raptors        ,109 ,Washington Wizards     ,  100 ,Box Score  ,           ,13538.0 ,2:14   ,Capital One Arena          ,
 112 ,"Wed, Nov 3, 2021"  ,7:30p      ,Atlanta Hawks          ,108 ,Brooklyn Nets          ,  117 ,Box Score  ,           ,17323.0 ,2:05   ,Barclays Center            ,
 113 ,"Wed, Nov 3, 2021"  ,8:00p      ,Denver Nuggets         ,106 ,Memphis Grizzlies      ,  108 ,Box Score  ,           ,12977.0 ,2:11   ,FedEx Forum                ,
 114 ,"Wed, Nov 3, 2021"  ,8:00p      ,Los Angeles Clippers   ,126 ,Minnesota Timberwolves ,  115 ,Box Score  ,           ,15386.0 ,2:10   ,Target Center              ,
 115 ,"Wed, Nov 3, 2021"  ,8:30p      ,Dallas Mavericks       ,109 ,San Antonio Spurs      ,  108 ,Box Score  ,           ,16356.0 ,2:26   ,AT&T Center                ,
 116 ,"Wed, Nov 3, 2021"  ,10:00p     ,Charlotte Hornets      , 92 ,Golden State Warriors  ,  114 ,Box Score  ,           ,18064.0 ,2:16   ,Chase Center               ,
 117 ,"Wed, Nov 3, 2021"  ,10:00p     ,New Orleans Pelicans   , 99 ,Sacramento Kings       ,  112 ,Box Score  ,           ,    0.0 ,2:10   ,Golden 1 Center            ,
 118 ,"Thu, Nov 4, 2021"  ,7:00p      ,Philadelphia 76ers     ,109 ,Detroit Pistons        ,   98 ,Box Score  ,           , 8702.0 ,2:12   ,Little Caesars Arena       ,
 119 ,"Thu, Nov 4, 2021"  ,7:30p      ,Utah Jazz              ,116 ,Atlanta Hawks          ,   98 ,Box Score  ,           ,16590.0 ,2:12   ,State Farm Arena           ,
 120 ,"Thu, Nov 4, 2021"  ,7:30p      ,Boston Celtics         , 95 ,Miami Heat             ,   78 ,Box Score  ,           ,19600.0 ,2:13   ,FTX Arena                  ,
 121 ,"Thu, Nov 4, 2021"  ,10:00p     ,Houston Rockets        ,111 ,Phoenix Suns           ,  123 ,Box Score  ,           ,15058.0 ,2:08   ,Phoenix Suns Arena         ,
 122 ,"Thu, Nov 4, 2021"  ,10:30p     ,Oklahoma City Thunder  ,107 ,Los Angeles Lakers     ,  104 ,Box Score  ,           ,18997.0 ,2:15   ,Crypto.com Arena           ,
 123 ,"Fri, Nov 5, 2021"  ,7:00p      ,Brooklyn Nets          , 96 ,Detroit Pistons        ,   90 ,Box Score  ,           ,14235.0 ,2:18   ,Little Caesars Arena       ,
 124 ,"Fri, Nov 5, 2021"  ,7:00p      ,San Antonio Spurs      ,102 ,Orlando Magic          ,   89 ,Box Score  ,           ,14101.0 ,2:01   ,Amway Center               ,
 125 ,"Fri, Nov 5, 2021"  ,7:00p      ,Memphis Grizzlies      , 87 ,Washington Wizards     ,  115 ,Box Score  ,           ,16302.0 ,2:06   ,Capital One Arena          ,
 126 ,"Fri, Nov 5, 2021"  ,7:30p      ,New York Knicks        ,113 ,Milwaukee Bucks        ,   98 ,Box Score  ,           ,17341.0 ,2:14   ,Fiserv Forum               ,
 127 ,"Fri, Nov 5, 2021"  ,7:30p      ,Cleveland Cavaliers    ,102 ,Toronto Raptors        ,  101 ,Box Score  ,           ,19800.0 ,2:10   ,Scotiabank Arena           ,
 128 ,"Fri, Nov 5, 2021"  ,8:00p      ,Los Angeles Clippers   ,104 ,Minnesota Timberwolves ,   84 ,Box Score  ,           ,17136.0 ,2:15   ,Target Center              ,
 129 ,"Fri, Nov 5, 2021"  ,10:00p     ,New Orleans Pelicans   , 85 ,Golden State Warriors  ,  126 ,Box Score  ,           ,18064.0 ,2:18   ,Chase Center               ,
